wrestler,total,points,primary,secondary,tertiary,tag_team,wwe universal,wwe,wwe world heavyweight,ecw world,wwe intercontinental,wwe united states,wwe hardcore,nxt,wwe cruserweight,wwe united kingdom,wwe european,nxt north american,wwe universal tag team,wwe/wwe smackdown tag team,wwe world/wwe raw tag team,nxt tag team
Lince Dorado,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
"Bret ""Hitman"" Hart",4,11,3,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Kurt Angle,4,8,1,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
Dusty Rhodes,4,8,0,4,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0
CM Punk,4,8,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Akeem,4,7,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
Ax,4,5,0,1,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0
Tatanka,4,5,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0
Xavier Woods,4,5,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0
Rusev,4,5,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0
Konnor,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Rezar,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
Ryback,3,8,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Rowan,3,7,1,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Neville,3,6,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Sheamus,3,6,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Cesaro,3,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Jeff Hardy,3,5,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Booker T,3,5,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Luke,3,4,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Scott Steiner,3,4,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Rob Van Dam,3,4,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
TJP,3,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Ricochet,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
Ted Dibiase,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
Robert Gibson,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Jey Uso,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Aiden English,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
Sami Zayn,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
Lord Tensai,2,5,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Bray Wyatt,2,5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rikishi,2,5,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Vader,2,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Abyss,2,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Harper,2,4,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
The Miz,2,4,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
British Bulldog,2,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Andre The Giant,2,4,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Mask Kane,2,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Bam Bam Bigelow,2,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Matt Hardy,2,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Jimmy Uso,2,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Bo Dallas,2,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mustafa Ali,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Johnny Gargano,2,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Chad Gable,2,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Roderick Strong,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Lio Rush,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Shane McMahon,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Curtis Axel,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Smash,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Ricky Morton,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Butch,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Buddy Roberts,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
